Organism	Is Reference Strain	Species	Species NCBI taxon ID	Strain	Strain NCBI taxon ID	Chromosomes	Supercontigs	Contigs	Genome Source	Genome Version/Assembly ID	Structural Annotation Source	Structural Annotation Version	EC#	Genes	GO terms	Non Protein coding genes	Orthologs	Protein coding genes	Pseudogenes
Blumeria graminis f. sp. triticale THUN-12	no	Blumeria graminis	34373	f. sp. triticale THUN-12	N/A	11	25	0	INSDC	GCA_905067625.1	GenBank	Jun 14, 2021	5	7993	3626	0	7993	7993	0
Blumeria hordei strain RACE1	yes	Blumeria hordei	2867405	strain RACE1	N/A	0	99	0	INSDC	GCA_900237765.1	GenBank	Sep 14, 2018	619	7150	3428	1833	5317	5317	1830
Bremia lactucae strain SF5	yes	Bremia lactucae	4779	strain SF5	N/A	19	201	0	INSDC	GCA_004359215.2	GenBank	Aug 20, 2021	735	9767	5785	0	9767	9767	0
Balamuthia mandrillaris strain 2046	no	Balamuthia mandrillaris	66527	strain 2046	N/A	0	14699	0	INSDC	GCA_001262475.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Balamuthia mandrillaris CDC-V039	yes	Balamuthia mandrillaris	66527	CDC-V039	N/A	0	1604	0	INSDC	GCA_001185145.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Babesia microti strain ATCC 30222	no	Babesia microti	5868	strain ATCC 30222	N/A	0	0	234	INSDC	GCA_001650055.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Babesia microti strain ATCC PRA-99	no	Babesia microti	5868	strain ATCC PRA-99	N/A	0	0	82	GenBank	GCA_001650065.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Babesia microti strain GI	no	Babesia microti	5868	strain GI	N/A	0	0	140	INSDC	GCA_001650105.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Babesia microti strain GreenwichYale_Lab_strain_1	no	Babesia microti	5868	strain GreenwichYale_Lab_strain_1	N/A	0	0	250	INSDC	GCA_001650075.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Babesia microti Nan_Hs_2011_N11-50	no	Babesia microti	5868	Nan_Hs_2011_N11-50	N/A	0	0	131	INSDC	GCA_001650145.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Babesia microti strain Naushon	no	Babesia microti	5868	strain Naushon	N/A	0	0	131	INSDC	GCA_001650135.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Blastocrithidia nonstop P57	yes	Blastocrithidia nonstop	2592485	P57	N/A	0	77	0	INSDC	GCA_028554745.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Babesia ovata strain Miyake	yes	Babesia ovata	189622	strain Miyake	N/A	0	0	91	GenBank	GCA_002897235.1	GenBank	Dec 16, 2017	334	5108	2841	77	5031	5031	0
Babesia ovis Selcuk	yes	Babesia ovis	5869	Selcuk	N/A	0	78	0	INSDC	GCA_023705535.1	GenBank	May 27, 2022	N/A	3596	1780	70	3526	3526	0
Blastomyces percursus strain EI222	yes	Blastomyces percursus	1658174	strain EI222	N/A	0	3868	0	INSDC	GCA_001883805.1	GenBank	Nov 18, 2016	873	10384	5746	99	10285	10285	0
Batrachochytrium salamandrivorans BS	yes	Batrachochytrium salamandrivorans	1357716	BS	N/A	0	5358	0	INSDC	GCA_002006685.1	GenBank	Feb 24, 2017	885	10186	6139	51	10135	10135	2
Bodo saltans strain Lake Konstanz	yes	Bodo saltans	75058	strain Lake Konstanz	N/A	0	2256	0	GenBank	GCA_001460835.1	GenBank	Nov 19, 2015	658	18222	8960	443	17777	17779	434
Babesia sp. Xinjiang Xinjiang	yes	Babesia sp. Xinjiang	462227	Xinjiang	N/A	0	215	0	GenBank	GCA_002095265.1	GenBank	Apr. 18, 2017	331	3107	1993	41	3066	3066	0
Bos taurus breed Hereford	yes	Bos taurus	9913	breed Hereford	N/A	30	2180	0	Ensembl	GCA_002263795.2	Ensembl	ARS-UCD1.2	1344	27607	19974	5727	21861	21880	492
Candida albicans SC5314_B	no	Candida albicans	5476	SC5314_B	N/A	8	0	0	CGD	A22-s07-m01-r59	CGD	A22-s07-m01-r59	2	6415	3585	215	6191	6200	9
Cryptosporidium andersoni isolate 30847	yes	Cryptosporidium andersoni	117008	isolate 30847	N/A	0	0	135	GenBank	GCA_001865355.1	GenBank	Nov 03, 2016	379	3904	2567	28	3876	3876	28
Candida auris strain 6684	no	[Candida] auris	498019	6684	N/A	0	99	0	INSDC	GCA_001189475.1	GenBank	Aug 04, 2017	821	8301	3953	840	7461	7461	8
Candida auris strain B11220	no	[Candida] auris	498019	B11220	N/A	7	0	0	INSDC	GCA_003013715.2	GenBank	Sep 10, 2019	852	5494	4174	167	5327	5327	0
Candida auris strain B11221	no	[Candida] auris	498019	B11221	N/A	0	20	0	INSDC	GCA_002775015.1	GenBank	Jul 02, 2019	545	5715	4224	194	5521	5521	3
Candida auris strain B11243	no	[Candida] auris	498019	B11243	N/A	0	238	0	INSDC	GCA_003014415.1	GenBank	Mar 23, 2018	541	5595	3807	158	5437	5437	3
Candida auris strain B11245	no	[Candida] auris	498019	B11245	N/A	7	0	0	INSDC	GCA_008275145.1	GenBank	Sep 05, 2019	533	5675	3682	169	5506	5506	0
Candida auris strain B8441	yes	[Candida] auris	498019	B8441	N/A	0	15	0	GenBank	GCA_002759435.2	GenBank	Nov. 15, 2017	870	5584	4680	167	5417	5417	0
Cryptosporidium baileyi TAMU-09Q1	yes	Cryptosporidium baileyi	27987	TAMU-09Q1	N/A	0	0	153	GenBank	GCA_001593455.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Cryptosporidium bovis isolate 45015	yes	Cryptosporidium bovis	310047	isolate 45015	N/A	0	55	0	INSDC	GCA_009768925.2	GenBank	Nov 10, 2021	N/A	3723	1899	0	3723	3723	0
Cladophialophora carrionii KSF	yes	Cladophialophora carrionii	86049	KSF	N/A	0	0	22	GenBank	GCA_001700775.1	GenBank	Aug 08, 2016	1266	11240	7342	59	11181	11181	0
Cyclospora cayetanensis strain CHN_HEN01	yes	Cyclospora cayetanensis	88456	strain CHN_HEN01	N/A	0	0	2297	GenBank	GCA_000769155.2	GenBank	Sep 22, 2016	362	7455	3528	302	7153	7153	302
Cyclospora cayetanensis isolate NF1_C8	no	Cyclospora cayetanensis	88456	isolate NF1_C8	N/A	0	0	738	GenBank	GCF_002999335.1	RefSeq	Sep 06, 2018	353	6135	2918	310	5825	5825	103
Cryptococcus cf. gattii MF34	yes	Cryptococcus cf. gattii	2011032	MF34	N/A	13	2	0	INSDC	GCA_009650685.1	GenBank	Nov 14, 2019	2	6321	3903	114	6207	6207	58
Coprinopsis cinerea #326	no	Coprinopsis cinerea	5346	#326	N/A	0	31	0	INSDC	GCA_016772295.1	GenBank	Jan 25, 2021	8	15250	6137	238	15012	15012	0
Curvularia clavata yc1106	yes	Curvularia clavata	95742	yc1106	N/A	8	0	0	INSDC	GCA_023920165.1	GenBank	Jun 27, 2022	16	10292	7247	122	10170	10170	0
Cucumispora dikerogammari Dv6	yes	Cucumispora dikerogammari	658444	Dv6	N/A	0	7783	0	INSDC	GCA_014805705.1	GenBank	Sep 30, 2020	N/A	4599	1375	0	4599	4599	0
Candida duobushaemulonis strain B09383	yes	[Candida] duobushaemulonis	1231522	B09383	N/A	0	0	7	GenBank	GCA_002926085.1	GenBank	May 01, 2018	852	5329	4025	156	5173	5173	0
Cyberlindnera fabianii 65	yes	Cyberlindnera fabianii	36022	65	N/A	0	25	0	INSDC	GCA_001983305.1	GenBank	Feb 02, 2017	724	5509	4380	0	5509	5509	0
Crithidia fasciculata strain Cf-Cl	yes	Crithidia fasciculata	5656	strain Cf-Cl	N/A	30	427	0	GenBank	GCA_000331325.2	BeverleyLab	Jun 01, 2015	45	9619	4564	564	9055	9055	434
Cytauxzoon felis strain Winnie	yes	Cytauxzoon felis	27996	strain Winnie	N/A	0	358	0	INSDC	GCA_020283715.1	BirdLab	Dec 13, 2022	N/A	4321	1867	5	4316	4316	5
Candida haemulonis B11899	yes	[Candida] haemuloni	45357	B11899	N/A	0	0	11	GenBank	GCA_002926055.1	GenBank	May 01, 2018	852	5409	4092	160	5249	5249	0
Cryptosporidium hominis isolate 30976	no	Cryptosporidium hominis	237895	isolate 30976	N/A	0	0	53	GenBank	GCA_001483515.1	KissingerLab	Nov 16, 2017	198	3994	2267	46	3948	3948	1
Cryptosporidium hominis 37999	no	Cryptosporidium hominis	237895	37999	N/A	0	0	78	GenBank	GCA_000804495.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Cryptosporidium hominis isolate TU502_2012	no	Cryptosporidium hominis	237895	isolate TU502_2012	N/A	0	0	119	GenBank	GCA_001593465.1	GenBank	Jan 06, 2017	775	3797	2458	52	3745	3745	0
Cryptosporidium hominis UKH1	no	Cryptosporidium hominis	237895	UKH1	N/A	0	0	156	GenBank	GCA_001593475.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Cryptosporidium hominis UdeA01	no	Cryptosporidium hominis	237895	UdeA01	N/A	8	0	0	GenBank	GCA_002223825.1	GenBank	Dec 3, 2015	361	3863	2427	46	3817	3817	1
Cladophialophora immunda strain CBS 83496	yes	Cladophialophora immunda	569365	strain CBS 83496	N/A	0	277	0	GenBank	GCA_000835495.1	GenBank	Jun 16, 2016	1354	12879	8577	49	12830	12830	0
Coccidioides immitis WA_211	no	Coccidioides immitis	5501	WA_211	N/A	0	62	0	INSDC	GCA_004115165.2	GenBank	2019-07-01	882	7936	5516	121	7815	7815	0
Cimex lectularius Harlan	yes	Cimex lectularius	79782	Harlan	N/A	0	417	1156	INSDC	GCA_000648675.3	Ensembl	Clec2v1.0	6	14647	7948	2698	11949	11949	219
Canis lupus familiaris isolate SID07034	yes	Canis lupus	9612	familiaris isolate SID07034	N/A	40	336	0	INSDC	GCA_014441545.1	GenBank	ROS_Cfam_1.0	54	31121	17313	10554	20500	20567	610
Cryptosporidium meleagridis strain UKMEL1	yes	Cryptosporidium meleagridis	93969	strain UKMEL1	N/A	0	0	57	GenBank	GCA_001593445.1	GenBank	Feb 02, 2018	367	3806	2537	53	3753	3753	0
Candida metapsilosis BP57	yes	Candida metapsilosis	273372	BP57	N/A	0	9	0	INSDC	GCA_017655625.1	GenBank	Apr 01, 2021	N/A	5743	3885	17	5726	5726	17
Cordyceps militaris ATCC 34164	yes	Cordyceps militaris	73501	ATCC 34164	N/A	7	0	0	INSDC	GCA_008080495.1	GenBank	Nov 30, 2017	927	9362	6754	75	9287	9287	0
Cryptococcus neoformans var. grubii H99 2018	no	Cryptococcus neoformans	5207	var. grubii H99 2018	N/A	0	14	0	INSDC	GCA_003011985.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Cryptococcus neoformans var. grubii KN99	no	Cryptococcus neoformans	5207	var. grubii KN99	N/A	14	0	0	GenBank	GCA_002216725.1	GenBank	Nov 8, 2018	575	6967	4159	0	6967	6967	0
Cryptococcus neoformans strain:VNII	no	Cryptococcus neoformans	5207	strain:VNII	N/A	14	0	0	INSDC	GCA_022832995.1	GenBank	Apr 07, 2022	11	6698	4011	113	6585	6585	50
Cryptosporidium parvum 2022	no	Cryptosporidium parvum	5807	2022	N/A	8	0	0	INSDC	GCA_019844115.2	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Cryptosporidium parvum IOWA-ATCC	no	Cryptosporidium parvum	5807	IOWA-ATCC	N/A	8	0	0	GenBank	GCA_015245375.1	GenBank	Oct 21, 2022	10	4035	2530	143	3892	3892	1
Cavia porcellus 2N	yes	Cavia porcellus	10141	2N	N/A	0	3143	0	INSDC	GCA_000151735.1	GenBank	Cavpor3.0	176	26855	16579	8760	18095	18095	242
Coccidioides posadasii strain Silveira 2022	no	Coccidioides posadasii	199306	strain Silveira 2022	N/A	8	0	0	INSDC	GCA_018416015.2	GenBank	Jan 19, 2022	896	8438	5796	139	8299	8299	2
Candida pseudohaemulonii strain B12108	yes	[Candida] pseudohaemulonis	418784	B12108	N/A	0	36	0	INSDC	GCA_003013735.1	GenBank	Mar 03, 2018	843	5285	4005	151	5134	5134	0
Chrysosporium queenslandicum isolate CBS 280.77	yes	Chrysosporium queenslandicum	264361	isolate CBS 280.77	N/A	0	0	2724	GenBank	GCA_001430955.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Culex quinquefasciatus JHB 2020	yes	Culex quinquefasciatus	7176	JHB 2020	N/A	3	0	53	INSDC	GCA_015732765.1	GenBank	Jul 17, 2023	N/A	18665	9662	3389	15276	15276	623
Culex quinquefasciatus Johannesburg	no	Culex quinquefasciatus	7176	Johannesburg	N/A	0	3171	0	INSDC	GCA_000209185.1	VectorBase	CpipJ2.5	1036	19793	13310	828	18965	18965	0
Cryptosporidium ryanae 45019	yes	Cryptosporidium ryanae	515981	45019	N/A	0	93	0	INSDC	GCA_009792415.2	GenBank	Jan 05, 2022	N/A	3711	1886	0	3711	3711	0
Culicoides sonorensis PIR-s-3	yes	Culicoides sonorensis	179676	PIR-s-3	N/A	0	7974	0	INSDC	GCA_900258525.1	GenBank	Cson1.2	1833	15612	11757	0	15612	15612	0
Cryptosporidium sp. chipmunk genotype I strain 37763	yes	Cryptosporidium sp. chipmunk genotype I	1280935	strain 37763	N/A	0	50	0	INSDC	GCA_004936735.2	GenBank	Dec 28, 2021	N/A	3783	1941	0	3783	3783	0
Cystoisospora suis strain Wien I	yes	Cystoisospora suis	483139	strain Wien I	N/A	0	0	14627	GenBank	GCA_002600585.1	GenBank	Oct 20, 2017	458	11543	5654	0	11543	11543	0
Candida tropicalis MYA-3404 2020	no	Candida tropicalis	5482	MYA-3404 2020	N/A	7	0	0	INSDC	GCA_013177555.1	GenBank	May 27, 2020	8	6136	4109	0	6136	6136	0
Cryptosporidium tyzzeri isolate UGA55	yes	Cryptosporidium tyzzeri	756076	isolate UGA55	N/A	8	0	3	GenBank	GCA_007210665.1	KissingerLab	Nov 16, 2017	196	4038	1938	61	3977	3977	0
Cryptosporidium ubiquitum isolate 39726	yes	Cryptosporidium ubiquitum	857276	isolate 39726	N/A	0	0	39	GenBank	GCA_001865345.1	GenBank	Nov 17, 2016	355	3766	2441	0	3766	3766	0
Dermacentor andersoni qqDerAnde1.1	no	Dermacentor andersoni	34620	qqDerAnde1.1	N/A	0	8198	0	INSDC	GCA_023375915.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Dermacentor andersoni qqDerAnde1.2	yes	Dermacentor andersoni	34620	qqDerAnde1.2	N/A	0	3118	0	INSDC	GCF_023375885.1	GenBank	Aug 19, 2022	7	32684	11797	12314	20370	20370	2195
Debaryomyces fabryi CBS 789	yes	Debaryomyces fabryi	58627	CBS 789	N/A	0	534	0	INSDC	GCA_001447935.2	GenBank	Mar 16, 2020	793	6025	4839	0	6025	6025	0
Drosophila melanogaster iso-1	yes	Drosophila melanogaster	7227	iso-1	N/A	7	1862	0	INSDC	GCA_000001215.4	Ensembl	BDGP6.46	N/A	18380	12993	4394	13986	13986	340
Dictyocoela muelleri Ou54	yes	Dictyocoela muelleri	279532	Ou54	N/A	0	11522	0	INSDC	GCA_016256075.1	GenBank	Dec 22, 2020	N/A	6442	1846	0	6442	6442	0
Dictyostelium purpureum QSDP1	yes	Dictyostelium purpureum	5786	QSDP1	N/A	0	799	0	INSDC	GCF_000190715.1	RefSeq	Oct 23, 2023	16	12403	8274	4	12399	12399	4
Dictyocoela roeselum Ou19	yes	Dictyocoela roeselum	288439	Ou19	N/A	0	1033	0	INSDC	GCA_016255985.1	GenBank	Dec 22, 2020	N/A	1201	732	0	1201	1201	0
Diutina rugosa CBS 613	yes	Diutina rugosa	5481	CBS 613	N/A	0	169	0	INSDC	GCA_008704595.1	GenBank	Sep 26, 2019	658	5819	4189	4	5815	5815	4
Dermacentor silvarum Dsil-2018	yes	Dermacentor silvarum	543639	Dsil-2018	N/A	11	1653	0	INSDC	GCA_013339745.2	RefSeq	GCF_013339745.2	2	36124	12972	12705	23419	23419	1856
Eimeria acervulina Houghton	yes	Eimeria acervulina	5801	Houghton	N/A	0	3415	0	GenBank	GCA_000499425.1	GenBank	Nov 5, 2013	323	6867	3521	0	6867	6867	0
Emergomyces africanus CBS 136260	yes	Emergomyces africanus	1955775	CBS 136260	N/A	0	4444	0	INSDC	GCA_001660665.1	GenBank	Jun 09, 2016	858	8860	5773	91	8769	8769	2
Eimeria brunetti Houghton	yes	Eimeria brunetti	51314	Houghton	N/A	0	8575	0	GenBank	GCA_000499725.1	GenBank	Nov 5, 2013	266	8711	3698	0	8711	8711	0
Enterospora canceri strain GB1	yes	Enterospora canceri	1081671	strain GB1	N/A	0	0	537	GenBank	GCA_002087915.1	GenBank	Apr 12, 2017	168	2178	1119	9	2169	2169	9
Eimeria falciformis Bayer Haberkorn 1970	yes	Eimeria falciformis	84963	Bayer Haberkorn 1970	N/A	0	0	751	GenBank	GCA_002271815.1	DieterichLab	Feb 10, 2014	8	6037	2880	226	5811	5811	65
Encephalitozoon hellem Swiss	no	Encephalitozoon hellem	27973	Swiss	N/A	0	32	0	GenBank	GCA_018342045.1	GenBank	May 11, 2021	3	2022	1105	51	1971	1971	0
Enterocytozoon hepatopenaei EHP-ID16	no	Enterocytozoon hepatopenaei	646526	EHP-ID16	N/A	0	162	0	INSDC	GCA_003709115.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Enterocytozoon hepatopenaei strain TH1	yes	Enterocytozoon hepatopenaei	646526	strain TH1	N/A	0	0	62	GenBank	GCA_002081675.1	GenBank	Apr 06, 2017	182	2536	1375	0	2536	2536	0
Entamoeba histolytica Rahman	no	Entamoeba histolytica	5759	Rahman	N/A	0	18523	0	INSDC	GCA_917563895.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Eimeria maxima Weybridge	yes	Eimeria maxima	5804	Weybridge	N/A	0	3564	0	GenBank	GCA_000499605.1	GenBank	Nov 5, 2013	249	6057	2934	0	6057	6057	0
Exophiala mesophila strain CBS 40295	yes	Exophiala mesophila	212818	strain CBS 40295	N/A	0	9	0	GenBank	GCA_000836275.1	GenBank	Jun 16, 2016	1194	9237	6643	56	9181	9181	0
Eimeria mitis Houghton	yes	Eimeria mitis	44415	Houghton	N/A	0	15978	0	GenBank	GCA_000499745.2	GenBank	Nov 5, 2013	201	10077	3783	0	10077	10077	0
Endotrypanum monterogeii strain LV88	yes	Endotrypanum monterogeii	5705	strain LV88	N/A	36	1925	0	GenBank	GCA_000333855.2	GeneDB	Jan 16, 2015	53	8414	4141	129	8285	8285	0
Entamoeba moshkovskii Laredo	yes	Entamoeba moshkovskii	41668	Laredo	N/A	0	1147	3460	GenBank	GCA_002914575.1	liverpool	Jan 19, 2014	2	12449	4777	189	12260	12260	189
Eimeria necatrix Houghton	yes	Eimeria necatrix	51315	Houghton	N/A	0	3707	0	GenBank	GCA_000499385.1	GenBank	Nov 5, 2013	381	8603	4320	0	8603	8603	0
Exophiala oligosperma strain CBS 72588	yes	Exophiala oligosperma	215243	strain CBS 72588	N/A	0	143	0	GenBank	GCA_000835515.1	GenBank	Jun 16, 2016	1372	11938	8206	45	11893	11893	0
Emergomyces orientalis 5z489	yes	Emergomyces orientalis	1972497	5z489	N/A	0	108	0	INSDC	GCA_002110485.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Eimeria praecox Houghton	yes	Eimeria praecox	51316	Houghton	N/A	0	21348	0	GenBank	GCA_000499445.1	GenBank	Nov 5, 2013	164	7635	2691	0	7635	7635	0
Exophiala spinifera CBS 89968	yes	Exophiala spinifera	91928	CBS 89968	N/A	0	28	0	INSDC	GCA_000836115.1	GenBank	Jun 16, 2016	1035	12110	8545	61	12049	12049	3
Eimeria tenella Houghton 2021	yes	Eimeria tenella	5802	Houghton 2021	N/A	15	0	0	INSDC	GCA_905310635.1	ReidLab	Mar 05, 2021	69	7825	3603	557	7268	7268	44
Fusarium circinatum NRRL 25331	yes	Fusarium circinatum	48490	NRRL 25331	N/A	0	1222	0	INSDC	GCA_013396185.1	GenBank	2020-07-10	N/A	13905	7721	0	13905	13905	0
Fusarium graminearum DAOM 233423	no	Fusarium graminearum	5518	DAOM 233423	N/A	0	869	0	INSDC	GCA_000966635.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Fusarium mangiferae MRC7560	yes	Fusarium mangiferae	192010	MRC7560	N/A	0	254	0	INSDC	GCA_900044065.1	GenBank	Dec 06, 2016	1247	16149	10434	345	15804	15804	0
Fusarium odoratissimum strain race 4	yes	Fusarium odoratissimum	2502994	strain race 4	N/A	0	840	0	GenBank	GCA_000350365.1	GenBank	Mar 21, 2015	1479	14596	8462	137	14459	14459	137
Fusarium proliferatum strain NRRL62905	no	Fusarium proliferatum	948311	strain NRRL62905	N/A	0	0	155	GenBank	GCA_900029915.1	GenBank	Dec 06, 2016	1039	15602	8779	348	15254	15254	0
Fusarium solani FSSC 5 MPI-SDFR-AT-0091	yes	Fusarium solani	169388	FSSC 5 MPI-SDFR-AT-0091	N/A	0	74	0	INSDC	GCF_020744495.1	RefSeq	Feb 02, 2022	7	17940	9116	286	17654	17654	3
Giardia Assemblage A2 isolate DH	no	Giardia Assemblage A	5741	2 isolate DH	N/A	0	0	239	GenBank	GCA_000498715.1	GenBank	Nov 25, 2013	343	5209	3008	62	5147	5147	1
Giardia assemblage A isolate AS175	no	Giardia Assemblage A	5741	AS175	N/A	0	0	1139	GenBank	GCA_001493575.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Giardia Assemblage A isolate CIA	no	Giardia Assemblage A	5741	isolate CIA	N/A	0	93	0	INSDC	GCA_022985015.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Giardia Assemblage A isolate WB 2019	yes	Giardia Assemblage A	5741	isolate WB 2019	N/A	5	30	0	INSDC	GCA_000002435.2	GenBank	Nov 06, 2019	393	5391	2346	423	4968	4968	320
Giardia Assemblage A isolate WB Calgary	no	Giardia Assemblage A	5741	isolate WB Calgary	N/A	0	37	0	INSDC	GCA_011634545.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Giardia Assemblage B isolate BAH15c1	no	Giardia Assemblage B	9100000002	isolate BAH15c1	N/A	0	508	0	GenBank	GCA_001543975.1	GenBank	Feb 01, 2016	N/A	4992	2843	82	4910	4910	0
Giardia Assemblage B isolate GS Calgary	no	Giardia Assemblage B	9100000002	isolate GS Calgary	N/A	0	19	0	INSDC	GCA_011634595.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Giardia Assemblage B isolate GS_B	no	Giardia Assemblage B	9100000002	isolate GS_B	N/A	0	0	543	GenBank	GCA_000498735.1	GenBank	Nov 25, 2013	196	6166	2321	68	6098	6098	0
Giardia Assemblage D isolate DID	no	Giardia Assemblage D	9100000004	isolate DID	N/A	0	260	0	INSDC	GCA_022985025.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Glossina austeni TTRI	yes	Glossina austeni	7395	TTRI	N/A	0	2205	0	INSDC	GCA_000688735.1	VectorBase	GausT1.8	1705	20098	11568	378	19720	19720	0
Glossina brevipalpis IAEA	yes	Glossina brevipalpis	37001	IAEA	N/A	0	1651	0	INSDC	GCA_000671755.1	VectorBase	GbreI1.8	1334	14991	10535	335	14656	14656	0
Glossina fuscipes IAEA	no	Glossina fuscipes	7396	IAEA	N/A	0	2395	0	INSDC	GCA_000671735.1	VectorBase	GfusI1.8	1026	20502	11860	385	20117	20117	0
Glossina fuscipes IAEA 2018	yes	Glossina fuscipes	7396	IAEA 2018	N/A	0	7986	0	INSDC	GCA_014805625.1	GenBank	Oct 21, 2022	N/A	15810	6786	72	15738	15738	72
Gallus gallus isolate bGalGal1	yes	Gallus gallus	9031	isolate bGalGal1	N/A	41	172	0	INSDC	GCF_016699485.2	GenBank	GRCg7b	219	25403	14141	7527	17810	17876	186
Giardia intestinalis Beaver	no	Giardia Assemblage A	5741	Beaver	N/A	0	8	0	INSDC	GCA_011634555.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Glossina morsitans Yale	yes	Glossina morsitans	7394	Yale	N/A	0	13807	0	INSDC	GCA_001077435.1	VectorBase	GmorY1.11	1018	13149	9089	376	12733	12773	0
Giardia muris strain Roberts-Thomson	yes	Giardia muris	5742	strain Roberts-Thomson	N/A	5	0	54	GenBank	GCA_006247105.1	GenBank	Jun 11, 2019	332	5237	2798	576	4661	4661	279
Gregarina niphandrodes Unknown strain	yes	Gregarina niphandrodes	110365	Unknown strain	N/A	0	469	0	GenBank	GCA_000223845.4	GenBank	Apr 9, 2014	693	6606	3062	231	6375	6375	0
Glossina pallidipes IAEA	yes	Glossina pallidipes	7398	IAEA	N/A	0	1726	0	INSDC	GCA_000688715.1	VectorBase	GpalI1.8	1503	19638	10927	360	19278	19278	0
Glossina palpalis IAEA	yes	Glossina palpalis	7397	IAEA	N/A	0	3926	0	INSDC	GCA_000818775.1	VectorBase	GpapI1.5	1564	20535	11614	373	20162	20162	0
Hyalomma asiaticum Hyas-2018	yes	Hyalomma asiaticum	266040	Hyas-2018	N/A	11	6308	0	INSDC	GCA_013339685.2	GenBank	Nov 03, 2021	N/A	29657	10265	13	29644	29644	13
Histoplasma capsulatum G184AR	no	Histoplasma capsulatum	5037	G184AR	N/A	0	11	0	INSDC	GCA_017607465.1	GenBank	Mar 29, 2021	789	12723	5507	3308	9415	9415	0
Histoplasma capsulatum WU24	no	Histoplasma capsulatum	5037	WU24	N/A	7	0	0	INSDC	GCA_017310585.1	GenBank	Mar 09, 2021	N/A	9195	5250	115	9080	9080	0
Hepatospora eriocheir strain GB1	yes	Hepatospora eriocheir	1081669	strain GB1	N/A	0	0	1300	GenBank	GCA_002087885.1	GenBank	Apr 12, 2017	154	2716	1228	25	2691	2691	25
Hepatospora eriocheir strain canceri	no	Hepatospora eriocheir	1081669	strain canceri	N/A	0	0	2344	GenBank	GCA_002087875.1	GenBank	Apr 12, 2017	168	3058	1356	6	3052	3052	6
Hanseniaspora guilliermondii strain UTAD222	yes	Hanseniaspora guilliermondii	56406	strain UTAD222	N/A	0	208	0	INSDC	GCA_900119595.1	GenBank	Feb 02, 2017	565	4152	3107	82	4070	4070	0
Hammondia hammondi strain H.H.34	yes	Hammondia hammondi	99158	strain H.H.34	N/A	0	14860	0	GenBank	GCA_000258005.2	GenBank	May 06, 2019	N/A	8177	3570	174	8003	8003	1
Haemaphysalis longicornis HaeL-2018	yes	Haemaphysalis longicornis	44386	HaeL-2018	N/A	11	3874	0	INSDC	GCA_013339765.2	GenBank	Jan 26, 2022	N/A	25651	13162	0	25651	25651	0
Hamiltosporidium magnivora BE-OM-2	yes	Hamiltosporidium magnivora	148818	BE-OM-2	N/A	0	3550	0	INSDC	GCA_004325065.1	GenBank	Mar 05, 2019	242	4658	2160	0	4658	4658	0
Hamiltosporidium magnivora IL-BN-2	no	Hamiltosporidium magnivora	148818	IL-BN-2	N/A	0	3833	0	INSDC	GCA_004325035.1	GenBank	Mar 05, 2019	227	4180	1966	0	4180	4180	0
Histomonas meleagridis 2922-C6/04-10x	yes	Histomonas meleagridis	135588	2922-C6/04-10x	N/A	0	187	0	INSDC	GCA_020186115.1	GenBank	Sep 30, 2021	3	11119	6262	0	11119	11119	0
Histomonas meleagridis 2922-C6/04-290x	no	Histomonas meleagridis	135588	2922-C6/04-290x	N/A	0	281	0	INSDC	GCA_020184695.1	GenBank	Sep 30, 2021	3	11137	6225	0	11137	11137	0
Hepatocystis sp. ex Piliocolobus tephrosceles 2019	yes	Hepatocystis sp. ex Piliocolobus tephrosceles	2600580	2019	N/A	0	2439	0	INSDC	GCA_902459845.2	GenBank	Dec 12, 2019	928	5471	3383	130	5341	5341	31
